Order;Bat_ID;Sex;Age;Trial;Audio;N_calls;Audio_length;Naive
10;982091068548102;Male;Adult;1;215;0;283;Yes
12;982091068541705;Female;Adult;1;217;7;385;Yes
13;982091068541705;Female;Adult;2;218;0;203;Yes
15;982091068548102;Male;Adult;2;220;0;426;Yes
17;982091068548102;Male;Adult;3;222;2;409;Yes
18;982091068541705;Female;Adult;3;223;1;321;Yes
27;982091068539737;Female;Adult;1;235;67;423;Yes
36;982091068539737;Female;Adult;3;244;1;323;Yes
37;982091068556544;Female;Adult;1;245;0;169;Yes
40;982091068556544;Female;Adult;2;248;0;139;Yes
43;982091068556544;Female;Adult;3;251;0;267;Yes
1;982091068551076;Male;Subadult;1;198;0;459;No
2;982091068543165;Male;Adult;1;199;0;245;No
3;982091068535013;Female;Adult;1;200;0;135;No
4;982091068543165;Male;Adult;2;201;0;332;No
5;982091068535013;Female;Adult;2;202;1;165;No
6;982091068551076;Male;Subadult;2;203;1;235;No
7;982091068543165;Male;Adult;3;204;2;468;No
8;982091068551076;Male;Subadult;3;205;3;306;No
9;982091068535013;Female;Adult;3;211;0;279;No
11;982091068550950;Male;Adult;1;216;0;134;No
14;982091068550950;Male;Adult;2;219;0;149;No
16;982091068550950;Male;Adult;3;221;0;313;No
19;982091068540751;Female;Adult;1;225;13;344;No
20;982091068560202;Female;Subadult;1;226;0;304;No
21;982091068540751;Female;Adult;2;228;1;307;No
22;982091068560202;Female;Subadult;2;229;0;203;No
23;982091068540751;Female;Adult;3;231;6;446;No
24;982091068560202;Female;Subadult;3;232;3;406;No
25;982091068539844;Male;Subadult;1;233;0;528;No
26;982091068557450;Female;Adult;1;234;1;195;No
28;982091968552891;Male;Adult;1;236;0;207;No
29;982091068557450;Female;Adult;2;237;0;241;No
30;982091068539844;Male;Subadult;2;238;1;232;No
31;982091968552891;Male;Adult;2;239;5;188;No
32;982091068539737;Female;Adult;2;240;0;224;No
33;982091068557450;Female;Adult;3;241;0;320;No
34;982091068539844;Male;Subadult;3;242;0;369;No
35;982091968552891;Male;Adult;3;243;0;385;No
38;982091068560731;Female;Adult;1;246;3;217;No
39;982091068549575;Female;Subadult;1;247;0;309;No
41;982091068560731;Female;Adult;2;249;0;202;No
42;982091068549575;Female;Subadult;2;250;0;169;No
44;982091068549575;Female;Subadult;3;252;2;377;No
45;982091068560731;Female;Adult;3;253;0;301;No
